actor_id,name,birthYear,deathYear,primaryProfession
nm13770332,Alex Biancardi,\N,\N,actor
nm13770426,Francesca Baratella,\N,\N,actress
nm13770430,Gabriele Belli,\N,\N,actor
nm1377133,Hadley Kate,\N,\N,actor
nm13771431,Tiffany Janel Crawford,\N,\N,actress
nm13771432,Asklee Beeman,\N,\N,actress
nm13771435,Zorah S. Bynum,\N,\N,actress
nm13771436,Sean A. Bynum,\N,\N,actor
nm13771437,Serenity Bynum,\N,\N,actress
nm1377146,Víkingur Kristjánsson,1972,\N,"actor,producer,writer"
nm13771786,Pamela 'Vonnie' Cann,\N,\N,actress
nm1377201,Daniel Melingo,1957,\N,"actor,composer,soundtrack"
nm1377449,Agnieszka Grochowska,1979,\N,"actress,soundtrack"
nm13776451,Matilda Asare,\N,\N,"actress,producer"
nm13776893,Benjamin 'Benji P' Puckett,\N,\N,actor
nm13779066,Mia Corona,\N,\N,actress
nm13779857,Boroni Okoduwa,\N,\N,actress
nm13779858,Jemitola Aenena,\N,\N,actress
nm13779944,Mimi Connor Clay,\N,\N,actor
nm13779945,Sharese Basdon,\N,\N,actress
nm13779946,Tulinda Copeland,\N,\N,actress
nm13780092,Dajonae Brown,\N,\N,actress
nm13782863,Onur Yildiz,1995,\N,actor
nm13784156,Pepe Álvarez,\N,\N,
nm1378589,David Walton,1978,\N,"actor,producer,soundtrack"
nm13786162,Cofi Valduvieux,\N,\N,actress
nm13786317,Unqle Ben,\N,\N,actor
nm13786407,Nana Poku Junior,\N,\N,actor
nm13786409,Akumaa Mama Zimbi,\N,\N,actress
nm13787439,Sankalp Shrivastava,\N,\N,actor
nm13787441,Gautam,\N,\N,actor
nm13787621,Nakeeyat Dramani,\N,\N,actress
nm13787622,Michael Owusu-Afriyie,\N,\N,"actor,writer"
nm1378875,Michael D. Jones,\N,\N,"producer,actor,location_management"
nm13789220,Tosin Adekansola,\N,\N,actor
nm1379115,Sunay Akin,1962,\N,actor
nm1379134,Bea Alonzo,1987,\N,"actress,soundtrack"
nm13792078,Matias Boffi Brandwajnman,\N,\N,"actor,writer,producer"
nm13792319,George LeGrand,\N,\N,"actor,producer,director"
nm13792320,Joe Pittmon,\N,\N,actor
nm1379298,Dany Benedito,\N,\N,actress
nm13794157,Harry Bryant,\N,\N,actor
nm1379420,Chico Brenes,\N,\N,actor
nm13794589,Huang Jin-Tang,\N,\N,actor
nm13794695,Guy 'Gweedoe' Bailey,\N,\N,"actor,camera_department,editor"
nm13794698,Latrice Chambers,\N,\N,actress
nm13794699,Warrick Chambers,\N,\N,actor
nm13795941,Ishu Yadav,\N,\N,"actor,writer,casting_director"
nm1379813,Filipe Duarte,1973,2020,actor
nm1379894,Ketchup Eusebio,\N,\N,"actor,soundtrack,script_department"
nm13799008,Miguel Pilco,\N,\N,
nm13799009,Tuirima Fernando Sanchez,\N,\N,
nm13799485,Laura Breyen,\N,\N,actress
nm13799669,Jasmyn Bailey,\N,\N,actress
nm1380086,Markus Gertken,1966,\N,actor
nm13801025,Camille Garreton,\N,\N,actress
nm13801026,Sophie Oportot,\N,\N,actress
nm13801027,Sator Lupini,\N,\N,actor
nm13802917,Gaurav Yadav,\N,\N,"actor,writer,cinematographer"
nm13802920,Shiva Yadav,\N,\N,"actor,cinematographer"
nm13802941,Bridget Emerson,\N,\N,actress
nm13802942,Sarah Blaiser,\N,\N,actress
nm1380379,Dimitris Imellos,\N,\N,actor
nm13804719,DJ Kelblizz,1999,\N,actor
nm13806814,Herie Penisin,\N,\N,"director,actor,writer"
nm13806815,Joosh Creamer,\N,\N,actor
nm13806994,Hami Torabi,\N,\N,actor
nm13807852,Ge Wang,\N,\N,actor
nm13807853,Sheng Ziming,\N,\N,actor
nm13809133,Roshina Raj MD,\N,\N,
nm13809321,Mahsa Iranian,\N,\N,actress
nm13809765,Asalee Davis,\N,\N,actress
nm1381069,Sona Nair,1975,\N,"actress,music_department"
nm1381113,Ingrid Nilson,\N,\N,"actress,soundtrack,writer"
nm13813673,Jacob Balderrama,\N,\N,actor
nm13814614,Sylvia Madufor,\N,\N,actress
nm13815605,Kokoro Kazungu,\N,\N,actor
nm13816206,Yanju Ayodeji,\N,\N,actress
nm13816207,Taiwo Dakoh,\N,\N,actor
nm13816212,Oyindamola Akindele,\N,\N,"actress,make_up_department"
nm13819130,Edith Izuaga,\N,\N,actress
nm13820301,Joan Baba,\N,\N,actress
nm13820302,Glory Baba,\N,\N,actress
nm13820303,Ashley Ashey,\N,\N,actress
nm13820304,Raphael C. Flourish,\N,\N,actress
nm13820308,Agbe Adeyemi,\N,\N,actor
nm13821673,Fraullyn Joy Brillo,\N,\N,actress
nm1382210,Sean Mahon,\N,\N,"actor,miscellaneous"
nm13822553,Itsuki Nagasawa,2005,\N,actress
nm1382363,Jake Cuenca,1987,\N,actor
nm1382471,Nikos Kalamos,\N,\N,actor
nm13825251,Benny John,\N,\N,actor
nm13825391,Opeyemi Ademeso,\N,\N,actor
nm13825394,Tina Aponinuola,\N,\N,actress
nm13825395,Adeyemi Adedeji,\N,\N,actor
nm13825396,Adele Adeshayo,\N,\N,actress
nm13825874,Derek Drexl,\N,\N,"actor,miscellaneous"
nm1382676,Josh Strait,\N,\N,"actor,composer,miscellaneous"
nm1382724,Andres Williams,\N,\N,actor
nm1382762,Elizabeth Becka,1955,\N,"actress,miscellaneous"
nm13828122,Ceez,\N,\N,actor
nm13828123,Duene Big Bruh,\N,\N,"actor,music_department"
nm13828124,Cossandra Davis,\N,\N,actress
nm13828125,Kel Aryana,\N,\N,actor
nm13828126,Macy Dickerson,\N,\N,actress
nm1382877,Jackie Long,1981,\N,"actor,producer"
nm13828902,Doechus,\N,\N,actor
nm13828904,GoldMawf,\N,\N,actor
nm13832289,Yeseniya Grigoryeva,\N,\N,actress
nm13833125,Dymond Stackz,\N,\N,actress
nm13833126,Glam Sosa,\N,\N,actress
nm13833158,Mic Jay,\N,\N,actor
nm13833159,Luke Lanier,\N,\N,actor
nm13833160,Lateshia Daniel,\N,\N,actress
nm13834214,Rj Antry,\N,\N,"director,actor,art_department"
nm13834216,Fernandez Combs,\N,\N,actor
nm13834217,Zipporah Cheeks,\N,\N,actress
nm13834219,Maniac Cash,\N,\N,actor
nm13836404,Helga Mustafaraj,\N,\N,"production_manager,actress"
nm13836405,Sonila Hyseni,\N,\N,actress
nm13836406,Françeska Çoniku,\N,\N,actress
nm13836407,Rexhina Ibro,\N,\N,actress
nm13837537,Priya Gupta,\N,\N,actress
nm13838460,Nola Ojomu,\N,\N,
nm1383848,Patrick Allyn,\N,\N,actor
nm1383969,Jim Bakkum,1987,\N,"actor,soundtrack"
nm13839815,Hannah Tullett,\N,\N,"actress,script_department,set_decorator"
nm13841361,Damien Bleus,\N,\N,actor
nm13841362,Kiarrrah Guerra,\N,\N,actress
nm13842026,Hauwa Abdullahi,\N,\N,actress
nm13842065,Maryam Yahaya,\N,\N,actress
nm13842067,Umar M. Shareef,\N,\N,"actor,composer,writer"
nm13842421,Jamilu Sani Awayman,\N,\N,"actor,producer,production_manager"
nm13842458,Sam Karami,\N,\N,actor
nm1384254,Mike Bruce,\N,\N,"location_management,miscellaneous,actor"
nm13843957,Leonardo Martínez,\N,\N,actor
nm13843958,Ivan Morales,\N,\N,actor
nm13843959,Gaby Martínez,\N,\N,actress
nm1384413,Saswata Chatterjee,1970,\N,"actor,music_department"
nm13845976,Sukairaju Yusuf Ahli,\N,\N,actor
nm13845978,Mikail Bin Hassan,\N,\N,actor
nm13846010,Ladidi Fagge,\N,\N,actress
nm13849128,Prince Fadaland,\N,\N,actor
nm13849420,Stephanie Daniella,\N,\N,"actress,producer,writer"
nm13849425,Mandia Blessing,\N,\N,actress
nm13849427,Tikum Bryon,\N,\N,actor
nm13849428,Epie Brian,\N,\N,actor
nm13849809,Armin Jodakhani,\N,\N,actor
nm13850133,Sulaiman Bosho,\N,\N,actor
nm13850479,Abdulaziz Habeeb,\N,\N,actor
nm13850480,Mohamed Essmat,\N,\N,actor
nm13850544,Julia Farrell,\N,\N,actress
nm13850742,Kim Ji Ah,\N,\N,actress
nm13850743,Min Jung,\N,\N,actress
nm13850744,James,\N,\N,actor
nm13850745,Gil Dong,\N,\N,actor
nm13852359,Prachi Thaker,\N,\N,actress
nm13852506,Halima Atete,\N,\N,actress
nm13852662,Anton Vohmin,\N,\N,actor
nm13853725,Mag Felix,\N,\N,actor
nm13853726,Benjamin Enoh,\N,\N,"actor,miscellaneous"
nm13853812,Lola Egbowon,\N,\N,actress
nm13853813,Maryjane Ibik,\N,\N,"actress,make_up_department"
nm13854850,Hauwa Waraka,\N,\N,actress
nm13855503,Keyya Baloch,1988,\N,"actor,director,writer"
nm13856071,Misbahu Anfara,\N,\N,actor
nm13856072,Hadiza Muhammad,\N,\N,actress
nm13856075,Baba Duduwa,\N,\N,actress
nm13856557,Ernest Oheme Annan,\N,\N,actor
nm13856940,Ethel Amekortu,\N,\N,actress
nm13856948,Joan Akolpoka Azoo,\N,\N,actor
nm1385871,Olga Kurylenko,1979,\N,"actress,soundtrack,writer"
nm13859009,Rohit Singh Matru,\N,\N,actor
nm13859428,Azuhni Elvis,\N,\N,"actor,production_manager,producer"
nm13863289,Kevin Keltner,\N,\N,actor
nm13863386,Blessed Gift Kenechukwu,\N,\N,actor
nm13863387,Kessiena Ibude,\N,\N,actress
nm13863388,Onyi Amadi,\N,\N,actress
nm13863389,Eseoghene Brown,\N,\N,actor
nm13863391,Paul Ekoh,\N,\N,actor
nm13863668,Joseph Kim,\N,\N,actor
nm13865499,Chris Andrews Sr.,\N,\N,actor
nm1386645,Oscar Nuñez,1958,\N,"actor,writer,soundtrack"
nm13866542,Kaiya,\N,\N,"actress,writer"
nm1386656,Virginia Nölting,\N,\N,actress
nm1386659,Emily O'Brien,1985,\N,"actress,writer,producer"
nm1386676,Busurman Odurakaev,\N,\N,actor
nm13869239,Capsolan M. Reid,\N,\N,actor
nm13869579,EvanMCGaming,\N,\N,"director,writer,cinematographer"
nm13870661,Konner,\N,\N,writer
nm13871460,Ashley Geddins,\N,\N,actress
nm13871461,Robert Chamberlain,\N,\N,actor
nm1387176,Alan Sabbagh,\N,\N,"actor,producer"
nm13872399,Aftab,\N,\N,actor
nm13872659,Snookie Correa,\N,\N,actress
nm13872668,Lawanda Davis,\N,\N,actress
nm13873727,Monique 'Mo Betta' Smith,\N,\N,actor
nm13873833,Doreen Nana Ama Benyarko,\N,\N,actress
nm13873834,Richard Owusu Acquah,\N,\N,actor
nm13873835,Alfred Nii Kwaku Akrong,\N,\N,actor
nm13873837,Benjamin Ben,\N,\N,actor
nm1387451,Kong Sophy,\N,\N,actor
nm13874538,Terrance Hill,\N,\N,actor
nm1387487,Eric Starkey,\N,\N,actor
nm1387779,Rejina Uprety,\N,\N,actress
nm13880148,Reymundo Salao,\N,\N,"actor,director,writer"
nm1388067,Natasha Yarovenko,1979,\N,"actress,soundtrack"
nm1388074,Tony Jaa,1976,\N,"actor,stunts,producer"
nm2118004,Aslansho Rahmatulloev,\N,\N,actor
nm2118147,Alejandro Belmonte,\N,\N,"actor,producer,director"
nm2118220,Charles Inojie,\N,\N,"actor,director,writer"
nm2118328,Chisun,1982,\N,actress
nm2118547,Chiwetalu Agu,\N,\N,actor
nm2118672,Tchidi Chikere,\N,\N,"director,writer,actor"
nm2118692,Ngozi Ezeonu,1965,\N,actress
nm2118896,Rita Edochie,\N,\N,"actress,producer"
nm2119028,Vishal Om Prakash,\N,\N,"actor,writer,assistant_director"
nm2119034,Ailsa Marshall,1978,\N,actress
nm2119124,Akio Chen,1956,\N,actor
nm2119196,Segun Arinze,\N,\N,"actor,producer,production_manager"
nm2119319,Victoria Teijeiro,\N,\N,actress
nm2119766,Charles Awurum,\N,\N,"actor,assistant_director,director"
nm2120394,Frano Maskovic,1978,\N,"actor,producer"
nm2120507,Lisa Durupt,\N,\N,"actress,stunts,producer"
nm2120516,Sam Dede,\N,\N,"actor,assistant_director"
nm2120622,Cliff Poche,\N,\N,"actor,cinematographer,miscellaneous"
nm2120656,Henessi Schmidt,\N,\N,actress
nm2120688,Emeka Enyiocha,\N,\N,actor
nm2120999,Niousha Zeighami,\N,\N,actress
nm2121085,Freddy Åsblom,1990,\N,actor
nm2121475,Tony Umez,\N,\N,actor
nm2121713,Miriam Cabeza,\N,\N,actress
nm2121950,Dieterich Gray,1977,\N,"actor,producer,writer"
nm2122063,Chiege Alisigwe,\N,\N,actress
nm2122082,Setareh Eskandari,\N,\N,"actress,producer"
nm2122249,Heiko Pinkowski,1966,\N,"actor,producer,writer"
nm2122873,Jennifer Eliogu,\N,\N,actress
nm2123097,Nosa Obaseki,\N,\N,actor
nm2123271,Corey Sorenson,1980,\N,"actor,miscellaneous,producer"
nm2123677,Stacy Ann Rose,\N,\N,"actress,producer,director"
nm2123937,Abigail McFarlane,\N,\N,"actress,writer"
nm2123975,Nuno Costa Santos,\N,\N,"actor,writer,director"
nm2124189,Bo Burroughs,\N,\N,"actor,producer,director"
nm2124745,Sarah Stern,1984,\N,"actress,director,writer"
nm2124868,Angelique Jackson,\N,\N,actress
nm2127316,Craig Greager,\N,\N,"actor,writer,producer"
nm2127350,Beryl van Praag,\N,\N,"actress,director,writer"
nm2127395,Dean Kirkright,1981,\N,"actor,casting_department,director"
nm2127519,Estefan Bravo,\N,\N,actor
nm2127533,Tony Goodman,\N,\N,actor
nm2128159,Peter Fatomilola,\N,\N,actor
nm2128238,Sonam Kapoor,1985,\N,"actress,assistant_director"
nm2128968,'Ganja' Karuppu,\N,\N,"actor,producer"
nm2129108,Gábor Nagypál,1975,\N,actor
nm2129327,C.V.L. Narasimha Rao,\N,\N,actor
nm2129524,Alex Usifo Omiagbo,1953,\N,actor
nm2129662,Cristin Milioti,1985,\N,"actress,producer,soundtrack"
nm2129812,Berrak Tüzünataç,1984,\N,"actress,soundtrack,writer"
nm2130040,Alba Rohrwacher,1979,\N,"actress,miscellaneous,soundtrack"
nm2130958,Alfonso Dosal,1985,\N,"actor,music_department"
nm2131541,Tasuku Nagaoka,1982,\N,actor
nm2131960,Juliano Cazarré,1980,\N,"actor,writer,director"
nm2132667,M.S. Bhaskar,1957,\N,"actor,miscellaneous"
nm2133433,Laila Garin,\N,\N,"actress,soundtrack"
nm2133820,Joston Theney,1979,\N,"producer,director,writer"
nm2133956,Ofia Afuluagu Mbaka,\N,\N,"actor,composer"
nm2134374,Elisa Telles,\N,\N,"actress,production_manager,casting_department"
nm2134806,Leonardo Ortizgris,\N,\N,"actor,producer"
nm2135313,Clarion Chukwura-Abiola,1964,\N,actress
nm2135436,Dawn Noel,1976,\N,"actress,producer,stunts"
nm2135500,Nadine Helstroffer,\N,\N,"producer,actress,miscellaneous"
nm2135641,Francis Onwochei,\N,\N,"actor,director,producer"
nm2135691,Simon Pigeon,\N,\N,actor
nm2136110,Darlin Barry,\N,\N,actress
nm2136447,Michelle Maylene,1987,\N,actress
nm2136855,Emma Ayalogu,\N,\N,"actor,writer,assistant_director"
nm2137792,Shihoko Hagino,\N,\N,actress
nm2137870,Muhideen Oladapo,\N,\N,"actor,director,writer"
nm2138267,Prince Emeka Ani,\N,\N,"actor,director,writer"
nm2138363,Mike Ezuruonye,\N,\N,"actor,director,producer"
nm2138653,Deepika Padukone,1986,\N,"actress,producer,soundtrack"
nm2138797,Yuanyuan Ning,\N,\N,"actress,director,writer"
nm2139112,Veronika Khek Kubarová,1987,\N,"actress,writer"
nm2139257,Murat Cemcir,1976,\N,"actor,soundtrack,producer"
nm2139661,Farrokh Nemati,\N,\N,"actor,miscellaneous"
nm2139889,Kalu Ikeagwu,\N,\N,actor
nm2140485,Germaine Acogny,\N,\N,actress
nm2140860,Maika Monroe,1993,\N,"actress,producer"
nm2142096,Negar Javaherian,1983,\N,actress
nm2142189,Opeyemi Ayeola,\N,\N,"actress,producer"
nm2142336,Riley Keough,1989,\N,"actress,soundtrack,producer"
nm2142722,Eliska Krenková,1990,\N,"actress,soundtrack"
nm2142835,Jamshid Malekpoor,\N,\N,"director,writer"
nm2142959,Khashayar Rad,\N,\N,actor
nm2143567,Femi Branch,\N,\N,"actor,writer"
nm2143912,Marshall Dancing Elk Lucas,\N,\N,"actor,miscellaneous,writer"
nm2144007,Kangana Ranaut,1987,\N,"actress,director,producer"
nm2144218,Thea McCartan,\N,\N,actress
nm2144783,Miao Yu,1988,\N,actress
nm2144988,Tereza Ramba,1989,\N,actress
nm2144999,Nabila Huda,\N,\N,actress
nm2145184,Mohamed Elachi,\N,\N,"stunts,actor,director"
nm2145482,Vítor Andrade,1976,\N,actor
nm2145803,Uchemba Williams,\N,\N,"actor,writer,producer"
nm2145958,Vajja Venkata Giridhar,\N,\N,actor
nm2145989,Elnaz Shakerdoost,1984,\N,actress
nm2146022,Kôki Uchiyama,1990,\N,"actor,soundtrack,miscellaneous"
nm2146374,Ronke Ojo,\N,\N,"actress,director"
nm2146476,Sárka Krausová,1987,\N,actress
nm2146564,Godehard Giese,1972,\N,"actor,soundtrack,director"
nm2146938,Tibo Vandenborre,\N,\N,actor
nm2147284,Heidi Montag,1986,\N,"actress,soundtrack"
nm2147901,Alice Hunter,\N,\N,actress
nm2148665,Nyambi Nyambi,1979,\N,"actor,writer,producer"
nm2148740,Mike J. Politis,\N,\N,actor
nm2148911,Wunmi Mosaku,1986,\N,"actress,soundtrack"
nm2148963,Laurenz Leky,\N,\N,actor
nm2149437,Karina Razumovskaya,1983,\N,actress
nm2150114,Mick Fanning,\N,\N,"actor,producer,miscellaneous"
nm2150200,Ejike Asiegbu,\N,\N,actor
nm2150314,Ruscen Vidinliev,\N,\N,"actor,director,writer"
nm2150573,John Okafor,\N,\N,"actor,producer,writer"
nm2150782,Hiroya Matsumoto,1986,\N,"actor,soundtrack"
nm2151614,Ed Fleroff,1966,\N,actor
nm2152238,Dmitriy Kubasov,\N,\N,"actor,cinematographer,director"
nm2152398,Daniel Knudsen,1988,\N,"actor,director,producer"
nm2152645,Paola Lavini,1973,\N,actress
nm2152941,Magdyel Ugaz,\N,\N,actress
nm2154335,Megyn Kelly,1970,\N,"producer,writer"
nm2154368,Mangesh Desai,\N,\N,actor
nm2155527,Griselda Siciliani,1978,\N,"actress,soundtrack"
nm2155679,Mani Haghighi,1969,\N,"actor,writer,director"
nm2156061,Maria Bäck,\N,\N,"director,writer,producer"
nm2156459,Claudia Schujman,\N,\N,"actress,art_director"
nm2156780,Loes Haverkort,1981,\N,actress
nm2156787,Claire Louise Amias,\N,\N,actress
nm2156908,Jayalath Manoratne,1948,2020,"actor,writer,music_department"
nm2156989,Vimal,\N,\N,actor
nm2157268,Roberto Angelini,\N,\N,"composer,soundtrack,actor"
nm2157390,Aroa Gimeno,\N,\N,actress
nm2157503,Isabelle Kabano,\N,\N,actress
nm2158389,Odilon Esteves,1978,\N,"actor,soundtrack"
nm2158703,Nadia Kibout,\N,\N,"actress,director,writer"
nm2158803,Alex Meraz,1985,\N,"actor,writer,producer"
nm2160929,Phalguni Chatterjee,\N,\N,actor
nm2161137,Dominic DeVore,\N,\N,"actor,producer,camera_department"
nm2161450,Milos Bikovic,1988,\N,"actor,producer,director"
nm2162007,Avigail Harari,1989,\N,actress
nm2162223,Sergio Tovar Velarde,1982,\N,"director,writer,editor"
nm2162346,Alix Poisson,\N,\N,actress
nm2162529,Paty Cantú,1983,\N,"soundtrack,actress,composer"
nm2162672,Derek Moran,\N,\N,"actor,miscellaneous,soundtrack"
nm2163092,Emilia Schüle,1992,\N,"actress,soundtrack"
nm2163123,Ernell Manabat,1972,2021,actor
nm2163239,Griffin Cork,\N,\N,"actor,producer,editor"
nm2163344,Ko Asung,1992,\N,actress
nm2163364,Sean-Michael Argo,\N,\N,"producer,writer,actor"
nm2163453,Kenneth Miller,\N,\N,actor
nm2164105,Grigoris Arnaoutoglou,\N,\N,"actor,writer"
nm2165214,Zacharie Chasseriaud,1996,\N,actor
nm2165295,Tom Lyons,\N,\N,"actor,costume_designer,producer"
nm2165348,Jadranka Elezovic,\N,\N,actress
nm2165531,Ulf Montanus,1961,\N,actor
nm2165664,Jordi Ballester,1974,\N,actor
nm2165843,Mike Emrick,1946,\N,"actor,producer"
nm2166147,Wing-sie Yip,\N,\N,actress
nm2166809,Rabie Kati,\N,\N,actor
nm2166823,Keppy Ekpenyong-Bassey,\N,\N,"actor,producer"
nm2167323,Zhizhong Huang,1978,\N,"actor,director,producer"
nm2167350,B.J. Bales,\N,\N,"actor,producer"
nm2167524,Werner Kolf,\N,\N,actor
nm2168032,Indro Warkop,\N,\N,"actor,soundtrack,producer"
nm2168223,Leonardas Pobedonoscevas,1979,\N,actor
nm2168499,Mike Schaeffer,1960,\N,"actor,writer,casting_director"
nm2169414,Palak Singh,1992,\N,actress
nm2169749,Mickey Faerch,1956,\N,"actress,casting_department,make_up_department"
nm2169779,Vimala Pons,1986,\N,"actress,composer"
nm2170373,Kate Dalton,\N,\N,"actress,miscellaneous,writer"
nm2170633,Greg Vorob,1979,\N,"writer,producer,director"
nm2170706,Xicu Masó,\N,\N,"actor,director,assistant_director"
nm2170933,Anthony Taylor,\N,\N,"director,producer,actor"
nm2171261,Matthew Gooley,1982,\N,"actor,miscellaneous,producer"
nm2171308,Jim Finn,\N,\N,"director,writer,editor"
nm2171777,Shingo Fujimori,1983,\N,actor
nm2171923,Laurynas Jurgelis,\N,\N,actor
nm2172081,Nick Heyman,1984,\N,"actor,producer"
nm2172377,Kevin Lucero Less,\N,\N,"actor,writer,producer"
nm2172581,Guin Poon Chaw,\N,\N,actress
nm2172895,Henrik Dorsin,1977,\N,"actor,writer,soundtrack"
nm2173018,Bernhard Bozian,1983,\N,actor
nm2173078,Kwesi Boakye,1999,\N,"actor,soundtrack,producer"
nm2173321,Tracy Bargate,\N,\N,actress
nm2173693,Guy Gane,\N,\N,"casting_department,actor,miscellaneous"
nm2173724,Émilie Caen,\N,\N,actress
nm2174185,Eleanor Lee,\N,\N,actress
nm2174257,Zanjoe Marudo,1982,\N,actor
nm2174423,Jon Arne Arnseth,1987,\N,actor
nm2174608,Robi Morder,\N,\N,actor
nm2174714,Gerardo Trejoluna,\N,\N,"actor,producer"
nm2175329,Xavier Serrano,1975,\N,"actor,soundtrack"
nm2175457,Carol Bayruns,1936,2022,actress
nm2176152,Tyler Hollinger,\N,\N,"actor,producer,writer"
nm2178888,Mozhgan Taraneh,\N,\N,"actress,director"
nm2179344,Ramón Blanco Solaz,\N,\N,actor
nm2179856,Fahimeh Rahimnia,1948,\N,actress
nm2180243,Nasrin Moradi,\N,\N,actress
nm2180525,Ricky Borba,\N,\N,"director,actor,writer"
nm2180606,Victoria Matlock,1978,\N,"actress,producer,costume_designer"
nm2180607,Cherry,\N,\N,actor
nm2181267,Serge Faliu,\N,\N,"actor,miscellaneous"
nm2182106,Anthony Mark Streeter,\N,\N,"actor,camera_department"
nm2182458,Seung-mok Yoo,\N,\N,actor
nm2182713,Saideh Arab,\N,\N,actress
nm2183034,Mahmoud El-Bizzawy,\N,\N,"actor,writer"
nm2183388,Mustapha El Atrassi,\N,\N,"actor,director,writer"
nm2183684,Shira Kedem-Katzenelenbogen,1979,\N,actress
nm2184443,Tini Tom,1972,\N,"actor,music_department,producer"
nm2184643,Brunson K Delves,\N,\N,"actor,director,producer"
nm0392714,Eva Holubová,1959,\N,"actress,soundtrack,script_department"
nm0393201,Hong-Anh,\N,\N,"actress,soundtrack,director"
nm0393535,Randeep Hooda,1976,\N,"actor,director,writer"
nm0393792,Robin Hooper,\N,\N,actor
nm0394173,Graham Hopkins,\N,\N,actor
nm0394670,Keisuke Horibe,1966,\N,"actor,writer,director"
nm0394724,Masami Horiuchi,1950,\N,actor
nm0396008,Peter Hosking,1947,\N,"actor,producer"
nm0396125,Nina Hoss,1975,\N,"actress,soundtrack"
nm0396136,Robert Hossein,1927,2020,"actor,writer,director"
nm0396212,Yukijirô Hotaru,1951,\N,actor
nm0396284,Hsiao-Hsien Hou,1947,\N,"producer,writer,director"
nm0396558,Nicholas Hoult,1989,\N,"actor,producer,soundtrack"
nm0396924,Carice van Houten,1976,\N,"actress,producer,writer"
nm0397034,Andrea Bræin Hovig,1973,\N,actress
nm0397110,Andrew Howard,1969,\N,"actor,producer,writer"
nm0397133,Babe Howard,\N,\N,"actor,director,writer"
nm0398736,Jieh-Wen King,1956,\N,"actor,producer,writer"
nm0398760,Siu-Lung Leung,1948,\N,"actor,stunts,assistant_director"
nm0398852,Vivian Hsu,1975,\N,"actress,soundtrack,producer"
nm0398970,Jag Huang,1981,\N,"actor,writer,miscellaneous"
nm0399062,Yi Huang,1977,\N,"actress,soundtrack"
nm0399088,Patrick Huard,1969,\N,"actor,director,writer"
nm0399251,Charles Hubbell,1969,\N,"actor,talent_agent,miscellaneous"
nm0399326,Dave Huber,1967,\N,"actor,director,producer"
nm0399624,Maggie Huculak,\N,\N,"actress,miscellaneous"
nm0399981,Toni Hudson,1960,\N,"actress,producer,miscellaneous"
nm0400328,Daan Hugaert,1949,\N,actor
nm0401031,Randy Hughson,\N,\N,actor
nm0401132,Jay Huguley,1966,\N,actor
nm0401135,Joon-ho Huh,1964,\N,actor
nm0401176,Ann Hui,1947,\N,"director,actress,producer"
nm0401192,Kara Wai,1960,\N,actress
nm0401208,Shiu-Hung Hui,1948,\N,actor
nm0401241,Leticia Huijara,1967,\N,"actress,writer"
nm0401975,Bill Humphreys,1950,\N,"actor,producer,director"
nm0403564,Sherry Hursey,1956,\N,"actress,miscellaneous,producer"
nm0403937,Adam Huss,\N,\N,"actor,producer,writer"
nm0404176,Kata Huszárik,1971,\N,actress
nm0404722,Justine Huxley,\N,\N,"actress,miscellaneous"
nm0404806,Fedja van Huêt,1973,\N,actor
nm0404809,Frank Hvam,1970,\N,"actor,writer,producer"
nm0405281,Tyler Hynes,1986,\N,"actor,director,producer"
nm0405402,Krystof Hádek,1982,\N,"actor,soundtrack"
nm0405418,Ildikó Hámori,1947,\N,actress
nm0405729,Olivier Hémon,1950,2022,"actor,director,writer"
nm0405812,Klara Höfels,1949,2022,actress
nm0406012,Judith Hoersch,1981,\N,"actress,writer"
nm0406139,Ulrike Hübschmann,1963,\N,actress
nm0406699,Yoshie Ichige,1950,\N,actress
nm0407030,Hisashi Igawa,1936,\N,actor
nm0407069,Carlos Iglesias,1955,\N,"actor,writer,director"
nm0407235,Helena Ignez,1942,\N,"actress,director,writer"
nm0407258,Marko Igonda,1974,\N,"actor,writer"
nm0407348,Daisuke Iijima,\N,\N,actor
nm0407352,Naoko Iijima,1968,\N,actress
nm0407511,Mansaku Ikeuchi,1972,\N,actor
nm0408284,Michael Imperioli,1966,\N,"actor,writer,producer"
nm0408303,Vanida Imran,\N,\N,actress
nm0408309,Celia Imrie,1952,\N,"actress,soundtrack"
nm0408317,Imuda,1961,\N,actor
nm0408538,Lorenza Indovina,1966,\N,"actress,miscellaneous,director"
nm0408591,Ralph Ineson,1969,\N,"actor,soundtrack"
nm0409186,Scott Innes,1966,\N,"actor,writer,producer"
nm0409370,Pino Insegno,1959,\N,"miscellaneous,actor,writer"
nm0409401,Miquel Insua,1961,\N,actor
nm0409410,Prinya Intachai,1981,\N,"actor,soundtrack,director"
nm0409430,Manu Intiraymi,1978,\N,"actor,producer,writer"
nm0409465,Inuko Inuyama,1965,\N,"actress,soundtrack"
nm0409508,Angela Ioan,\N,\N,actress
nm0409779,Adi Irani,1955,\N,"actor,director,writer"
nm0409820,Enrique Irazoqui,1944,2020,actor
nm0409854,David Ireland,\N,\N,"actor,writer,camera_department"
nm0410667,Boris Isakovic,1966,\N,actor
nm0410719,Hiroko Isayama,1952,\N,actress
nm0410832,Yûsuke Iseya,1976,\N,"actor,director,writer"
nm0410856,Rashidi Ishak,\N,\N,"actor,director,writer"
